keys,en,zh_CN
"Error: failed to open ","Error: failed to open ",
"Load a pack first!","Load a pack first!",
"You can only patch one PCK at a time","You can only patch one PCK at a time",
"File","File",
"Mapping","Mapping",
"Map to Folder...","Map to Folder...",
"Error: You can only use this to patch PCKs or embedded PCKs","Error: You can only use this to patch PCKs or embedded PCKs",
"*.exe,*.bin,*.32,*.64,*.arm64,*.arm32;Self contained executable files","*.exe,*.bin,*.32,*.64,*.arm64,*.arm32;Self contained executable files",
"Validation failed","Validation failed",
"ERROR: ","ERROR: ",
"Item has empty mapping","Item has empty mapping",
"Item is mapped to a directory in the source pack","Item is mapped to a directory in the source pack",
"Item has duplicate mapping","Item has duplicate mapping",
"Folder is empty","Folder is empty",
"Output to Directory","Output to Directory",
"Create New Patch PCK","Create New Patch PCK",
"Patch PCK Directly","Patch PCK Directly",
"Failed to load project:\n","Failed to load project:\n",
"Failed to load import files:\n","Failed to load import files:\n",
"Invalid CSV file:\n","Invalid CSV file:\n",
"The CSV file has a different number of messages than the translation file.\n","The CSV file has a different number of messages than the translation file.\n",
"CSV file keys = %d\n","CSV file keys = %d\n",
"Translation messages = %d\n","Translation messages = %d\n",
"The resulting patched translation file may be corrupted!\n","The resulting patched translation file may be corrupted!\n",
"Please ensure that the correct translation is selected and the CSV file is up to date.","Please ensure that the correct translation is selected and the CSV file is up to date.",
"Warning","Warning",
"Please add at least one translation","Please add at least one translation",
"Failed to patch translation ","Failed to patch translation ",
"Failed to patch project config:\n","Failed to patch project config:\n",
"Translation patched successfully","Translation patched successfully",
"Failed to add files to patch PCK:\n","Failed to add files to patch PCK:\n",
"Failed to finish patch PCK:\n","Failed to finish patch PCK:\n",
"Patch PCK created successfully","Patch PCK created successfully",
"Please load a project first","Please load a project first",
"Please select a translation","Please select a translation",
"Please select a CSV file","Please select a CSV file",
"Please select at least one locale","Please select at least one locale",
"CSV Path","CSV Path",
"Certain assets have been written to the .assets directory!","Certain assets have been written to the .assets directory!",
" (Steam Mono edition)"," (Steam Mono edition)",
" (Steam edition)"," (Steam edition)",
" (Mono)"," (Mono)",
"[b]This Project requires a Godot engine built with double precision.[/b]\n","[b]This Project requires a Godot engine built with double precision.[/b]\n",
"You must build the engine with `precision=double` flag to edit this project.\n","You must build the engine with `precision=double` flag to edit this project.\n",
"[url=https://docs.godotengine.org/en/stable/engine_details/development/compiling/index.html]See the Godot documentation[/url] for more information.\n","[url=https://docs.godotengine.org/en/stable/engine_details/development/compiling/index.html]See the Godot documentation[/url] for more information.\n",
"[b]Custom Godot engine version detected!\nYou may encounter errors when opening the project in the editor.[/b]\n","[b]Custom Godot engine version detected!\nYou may encounter errors when opening the project in the editor.[/b]\n",
"Download URL:","Download URL:",
"Open download URL","Open download URL",
"Select File...","Select File...",
"Select Directory...","Select Directory...",
"Seperate items with a semicolon (;).","Seperate items with a semicolon (;).",
"General","General",
"WAV\nSample Rate: %d Hz\nChannels: %d\nFormat: %s\nLoop Mode: %s","WAV\nSample Rate: %d Hz\nChannels: %d\nFormat: %s\nLoop Mode: %s",
"Disabled","Disabled",
"Forward","Forward",
"PingPong","PingPong",
"Backward","Backward",
"PCM 8-bit","PCM 8-bit",
"PCM 16-bit","PCM 16-bit",
"ADPCM","ADPCM",
"Quite OK","Quite OK",
"Unknown","Unknown",
"Loop Begin: ","Loop Begin: ",
"Loop End: ","Loop End: ",
"Ogg Vorbis","Ogg Vorbis",
"Sample Rate: ","Sample Rate: ",
"MP3","MP3",
"BPM: ","BPM: ",
"Bar Beats: ","Bar Beats: ",
"Beat Count: ","Beat Count: ",
"Loop: Yes","Loop: Yes",
"Loop: No","Loop: No",
"Loop Offset: ","Loop Offset: ",
"--:-- / --:--","--:-- / --:--",
"[b]Path:[/b] %s\n[b]Type:[/b] %s\n[b]Format:[/b] %s","[b]Path:[/b] %s\n[b]Type:[/b] %s\n[b]Format:[/b] %s",
"Switch to Scene View","Switch to Scene View",
"Switch to Mesh View","Switch to Mesh View",
"Switch to Text View","Switch to Text View",
"[b]Engine Version:[/b] ","[b]Engine Version:[/b] ",
"[b]Source Files:[/b] [","[b]Source Files:[/b] [",
"[b]Source File:[/b] ","[b]Source File:[/b] ",
"[b]Importer:[/b] ","[b]Importer:[/b] ",
"[b]Import Options:[/b] {","[b]Import Options:[/b] {",
"[b]Import Options:[/b] {}","[b]Import Options:[/b] {}",
"[b]Path:[/b] ","[b]Path:[/b] ",
"Error opening resource:\n","Error opening resource:\n",
"Not a supported resource","Not a supported resource",
"Show Tabs","Show Tabs",
"Show Spaces","Show Spaces",
"Word Wrap","Word Wrap",
"Zoom In","Zoom In",
"Zoom Out","Zoom Out",
"Find...","Find...",
"Replace...","Replace...",
"Find Next","Find Next",
"Find Previous","Find Previous",
"Error loading script:\n","Error loading script:\n",
"Error loading script:\nNo .NET assembly loaded","Error loading script:\nNo .NET assembly loaded",
" <TRUNCATED...>"," <TRUNCATED...>",
"File Name","File Name",
"Copy path","Copy path",
"Copy paths","Copy paths",
"Check ","Check ",
"Uncheck ","Uncheck ",
"Fold all","Fold all",
"Unfold all","Unfold all",
"Error creating PCK file!","Error creating PCK file!",
"Recovery canceled!","Recovery canceled!",
"Cancelled","Cancelled",
"Could not recover files:\n","Could not recover files:\n",
"Could not extract files:\n","Could not extract files:\n",
"Log file written to ","Log file written to ",
